varCode,varLabel,nutrient,unit
def_vita_B12_req_hh,HH consumes less than the req amount of vita_B12,,categorical
hhae,Number of adult equivalents,,
kcal_ae_req,HH calorie requirement for heavy activity,,kcal
kcal_ae,Total daily energy acquisition per adult equivalent,,kcal
gap_kcal_ae,Gap between kcal per AE and required kcal per AE,,kcal
def_kcal_ae_hh,HH consumes less than the required amount of kcal (for total AE),,categorical
tot_cal_per_hh,Total calories per hh,,cal
ddi,Number of food items consumed,,
shannon_kcal,Shannon index based on calorie consumption,,index
simpson_kcal,Simpson index based on calorie consumption,,index
hdds,Number of food groups consumed,,
sh_cereals_kcal,Shr. of cereals in total hh calorie intake,,percentage
sh_roots_kcal,Shr. of roots in total hh calorie intake,,percentage
sh_veg_kcal,Shr. of vegetables in total hh calorie intake,,percentage
sh_fruits_kcal,Shr. of fruits in total hh calorie intake,,percentage
sh_meat_kcal,Shr. of meat in total hh calorie intake,,percentage
sh_eggs_kcal,Shr. of eggs in total hh calorie intake,,percentage
sh_fish_kcal,Shr. of fish in total hh calorie intake,,percentage
sh_pulses_kcal,Shr. of pulses in total hh calorie intake,,percentage
sh_milk_kcal,Shr. of milk in total hh calorie intake,,percentage
sh_oil_kcal,Shr. of oil&fats in total hh calorie intake,,percentage
sh_sugar_kcal,Shr. of sugar & honey in total hh calorie intake,,percentage
sh_misc_kcal,Shr. of miscellaneous foods in total hh calorie intake,,percentage
tot_val_prod,Total value of household food production,,
pdi_crop,Number of crop-source food items produced,,
pdi_animal,Number of animal-source food items produced,,
pdi_total,Total number of crop and animal-based food items produced,,
